trial,fase,a_letter_1,a_quad_1,a_letter_2,a_quad_2,a_letter_3,a_quad_3,a_letter_4,a_quad_4,b_op_1,b_correct_1,b_op_2,b_correct_2,b_op_3,b_correct_3,b_op_4,b_correct_4,c_letter_1,c_quad_1,c_correct_1,c_letter_2,c_quad_2,c_correct_2,c_letter_3,c_quad_3,c_correct_3,c_letter_4,c_quad_4,c_correct_4,stageA_img_1,stageA_img_2,stageA_img_3,stageA_img_4,stageB_img_1,stageB_img_2,stageB_img_3,stageB_img_4,stageC_img_1,stageC_img_2,stageC_img_3,stageC_img_4
1,1,L,TL,E,BR,N,BL,X,TR,2 + 3 = 5,True,8 + 8 = 14,False,5 + 3 = 10,False,2 + 3 = 5,True,E,BL,False,N,TR,False,L,TL,True,X,BR,False,f1_stageA_01_1.png,f1_stageA_01_2.png,f1_stageA_01_3.png,f1_stageA_01_4.png,f1_stageB_01_1.png,f1_stageB_01_2.png,f1_stageB_01_3.png,f1_stageB_01_4.png,f1_stageC_01_1.png,f1_stageC_01_2.png,f1_stageC_01_3.png,f1_stageC_01_4.png
2,1,B,BR,U,TL,E,BL,K,TR,7 + 3 = 8,False,2 + 5 = 9,False,8 + 7 = 15,True,9 + 9 = 18,True,K,TL,False,U,BL,False,E,TR,False,B,BR,True,f1_stageA_02_1.png,f1_stageA_02_2.png,f1_stageA_02_3.png,f1_stageA_02_4.png,f1_stageB_02_1.png,f1_stageB_02_2.png,f1_stageB_02_3.png,f1_stageB_02_4.png,f1_stageC_02_1.png,f1_stageC_02_2.png,f1_stageC_02_3.png,f1_stageC_02_4.png
3,1,T,BL,S,BR,L,TL,R,TR,4 + 9 = 15,False,2 + 3 = 5,True,7 + 7 = 14,True,7 + 9 = 18,False,R,BR,False,T,BL,True,S,TL,False,L,TR,False,f1_stageA_03_1.png,f1_stageA_03_2.png,f1_stageA_03_3.png,f1_stageA_03_4.png,f1_stageB_03_1.png,f1_stageB_03_2.png,f1_stageB_03_3.png,f1_stageB_03_4.png,f1_stageC_03_1.png,f1_stageC_03_2.png,f1_stageC_03_3.png,f1_stageC_03_4.png
4,1,B,BR,Z,TR,K,BL,X,TL,4 + 3 = 9,False,2 + 5 = 8,False,4 + 5 = 9,True,8 + 8 = 16,True,B,BR,True,K,TR,False,X,BL,False,Z,TL,False,f1_stageA_04_1.png,f1_stageA_04_2.png,f1_stageA_04_3.png,f1_stageA_04_4.png,f1_stageB_04_1.png,f1_stageB_04_2.png,f1_stageB_04_3.png,f1_stageB_04_4.png,f1_stageC_04_1.png,f1_stageC_04_2.png,f1_stageC_04_3.png,f1_stageC_04_4.png
5,1,U,BL,J,BR,E,TR,P,TL,3 + 4 = 7,True,4 + 5 = 8,False,2 + 9 = 11,True,4 + 6 = 11,False,U,BL,True,J,TR,False,E,TL,False,P,BR,False,f1_stageA_05_1.png,f1_stageA_05_2.png,f1_stageA_05_3.png,f1_stageA_05_4.png,f1_stageB_05_1.png,f1_stageB_05_2.png,f1_stageB_05_3.png,f1_stageB_05_4.png,f1_stageC_05_1.png,f1_stageC_05_2.png,f1_stageC_05_3.png,f1_stageC_05_4.png
6,1,W,TL,V,TR,L,BL,E,BR,9 + 8 = 15,False,5 + 3 = 8,True,5 + 9 = 14,True,4 + 3 = 8,False,L,TR,False,E,BL,False,V,BR,False,W,TL,True,f1_stageA_06_1.png,f1_stageA_06_2.png,f1_stageA_06_3.png,f1_stageA_06_4.png,f1_stageB_06_1.png,f1_stageB_06_2.png,f1_stageB_06_3.png,f1_stageB_06_4.png,f1_stageC_06_1.png,f1_stageC_06_2.png,f1_stageC_06_3.png,f1_stageC_06_4.png
7,1,C,TR,G,BL,W,BR,N,TL,3 + 9 = 14,False,9 + 9 = 18,True,6 + 3 = 9,True,4 + 3 = 8,False,W,BL,False,G,TL,False,N,BR,False,C,TR,True,f1_stageA_07_1.png,f1_stageA_07_2.png,f1_stageA_07_3.png,f1_stageA_07_4.png,f1_stageB_07_1.png,f1_stageB_07_2.png,f1_stageB_07_3.png,f1_stageB_07_4.png,f1_stageC_07_1.png,f1_stageC_07_2.png,f1_stageC_07_3.png,f1_stageC_07_4.png
8,1,E,BL,Z,BR,U,TL,A,TR,5 + 7 = 11,False,5 + 5 = 10,True,8 + 5 = 13,True,5 + 9 = 15,False,U,BR,False,E,BL,True,Z,TR,False,A,TL,False,f1_stageA_08_1.png,f1_stageA_08_2.png,f1_stageA_08_3.png,f1_stageA_08_4.png,f1_stageB_08_1.png,f1_stageB_08_2.png,f1_stageB_08_3.png,f1_stageB_08_4.png,f1_stageC_08_1.png,f1_stageC_08_2.png,f1_stageC_08_3.png,f1_stageC_08_4.png
9,1,Z,BL,W,TR,M,TL,R,BR,5 + 7 = 11,False,9 + 2 = 11,True,9 + 7 = 14,False,3 + 8 = 11,True,R,TL,False,W,BR,False,M,TR,False,Z,BL,True,f1_stageA_09_1.png,f1_stageA_09_2.png,f1_stageA_09_3.png,f1_stageA_09_4.png,f1_stageB_09_1.png,f1_stageB_09_2.png,f1_stageB_09_3.png,f1_stageB_09_4.png,f1_stageC_09_1.png,f1_stageC_09_2.png,f1_stageC_09_3.png,f1_stageC_09_4.png
10,1,R,TR,N,TL,C,BL,F,BR,9 + 7 = 16,True,4 + 4 = 8,True,2 + 2 = 2,False,4 + 8 = 11,False,F,TL,False,N,BL,False,R,TR,True,C,BR,False,f1_stageA_10_1.png,f1_stageA_10_2.png,f1_stageA_10_3.png,f1_stageA_10_4.png,f1_stageB_10_1.png,f1_stageB_10_2.png,f1_stageB_10_3.png,f1_stageB_10_4.png,f1_stageC_10_1.png,f1_stageC_10_2.png,f1_stageC_10_3.png,f1_stageC_10_4.png
